Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:35:08.602000,HAM,44,0 days 00:01:15.764000,51.0,5.0,NaT,NaT,0 days 00:00:19.164000,0 days 00:00:39.243000,0 days 00:00:17.357000,0 days 02:34:12.035000,0 days 02:34:51.278000,0 days 02:35:08.635000,310.0,244.0,297.0,299.0,False,SOFT,8.0,False,Mercedes,0 days 02:33:52.838000,NaT,1,9.0,,,False,True
0 days 02:36:24.298000,HAM,44,0 days 00:01:15.696000,52.0,5.0,NaT,NaT,0 days 00:00:19.356000,0 days 00:00:39.008000,0 days 00:00:17.332000,0 days 02:35:27.991000,0 days 02:36:06.999000,0 days 02:36:24.331000,301.0,243.0,297.0,281.0,False,SOFT,9.0,False,Mercedes,0 days 02:35:08.602000,NaT,1,9.0,,,False,True
0 days 02:37:39.714000,HAM,44,0 days 00:01:15.416000,53.0,5.0,NaT,NaT,0 days 00:00:19.351000,0 days 00:00:38.709000,0 days 00:00:17.356000,0 days 02:36:43.682000,0 days 02:37:22.391000,0 days 02:37:39.747000,300.0,244.0,300.0,281.0,True,SOFT,10.0,False,Mercedes,0 days 02:36:24.298000,NaT,1,9.0,,,False,True
0 days 02:38:54.919000,HAM,44,0 days 00:01:15.205000,54.0,5.0,NaT,NaT,0 days 00:00:19.224000,0 days 00:00:38.597000,0 days 00:00:17.384000,0 days 02:37:58.971000,0 days 02:38:37.568000,0 days 02:38:54.952000,301.0,249.0,298.0,288.0,True,SOFT,11.0,False,Mercedes,0 days 02:37:39.714000,NaT,1,9.0,,,False,True
0 days 02:40:10.089000,HAM,44,0 days 00:01:15.170000,55.0,5.0,NaT,NaT,0 days 00:00:19.238000,0 days 00:00:38.532000,0 days 00:00:17.400000,0 days 02:39:14.190000,0 days 02:39:52.722000,0 days 02:40:10.122000,298.0,249.0,298.0,290.0,True,SOFT,12.0,False,Mercedes,0 days 02:38:54.919000,NaT,1,9.0,,,False,True
0 days 02:41:25.402000,HAM,44,0 days 00:01:15.313000,56.0,5.0,NaT,NaT,0 days 00:00:19.250000,0 days 00:00:38.637000,0 days 00:00:17.426000,0 days 02:40:29.372000,0 days 02:41:08.009000,0 days 02:41:25.435000,298.0,252.0,298.0,291.0,False,SOFT,13.0,False,Mercedes,0 days 02:40:10.089000,NaT,1,8.0,,,False,True
0 days 02:42:40.433000,HAM,44,0 days 00:01:15.031000,57.0,5.0,NaT,NaT,0 days 00:00:19.205000,0 days 00:00:38.470000,0 days 00:00:17.356000,0 days 02:41:44.640000,0 days 02:42:23.110000,0 days 02:42:40.466000,297.0,250.0,299.0,286.0,True,SOFT,14.0,False,Mercedes,0 days 02:41:25.402000,NaT,1,8.0,,,False,True
0 days 02:43:55.338000,HAM,44,0 days 00:01:14.905000,58.0,5.0,NaT,NaT,0 days 00:00:19.197000,0 days 00:00:38.368000,0 days 00:00:17.340000,0 days 02:42:59.663000,0 days 02:43:38.031000,0 days 02:43:55.371000,298.0,252.0,298.0,286.0,True,SOFT,15.0,False,Mercedes,0 days 02:42:40.433000,NaT,1,8.0,,,False,True
0 days 02:45:10.077000,HAM,44,0 days 00:01:14.739000,59.0,5.0,NaT,NaT,0 days 00:00:19.110000,0 days 00:00:38.291000,0 days 00:00:17.338000,0 days 02:44:14.481000,0 days 02:44:52.772000,0 days 02:45:10.110000,298.0,248.0,298.0,288.0,True,SOFT,16.0,False,Mercedes,0 days 02:43:55.338000,NaT,1,8.0,,,False,True
0 days 02:46:25.250000,HAM,44,0 days 00:01:15.173000,60.0,5.0,NaT,NaT,0 days 00:00:19.297000,0 days 00:00:38.479000,0 days 00:00:17.397000,0 days 02:45:29.407000,0 days 02:46:07.886000,0 days 02:46:25.283000,293.0,245.0,298.0,289.0,False,SOFT,17.0,False,Mercedes,0 days 02:45:10.077000,NaT,1,8.0,,,False,True
0 days 02:47:40.549000,HAM,44,0 days 00:01:15.299000,61.0,5.0,NaT,NaT,0 days 00:00:19.346000,0 days 00:00:38.542000,0 days 00:00:17.411000,0 days 02:46:44.629000,0 days 02:47:23.171000,0 days 02:47:40.582000,299.0,248.0,297.0,281.0,False,SOFT,18.0,False,Mercedes,0 days 02:46:25.250000,NaT,1,8.0,,,False,True
0 days 02:48:55.907000,HAM,44,0 days 00:01:15.358000,62.0,5.0,NaT,NaT,0 days 00:00:19.274000,0 days 00:00:38.684000,0 days 00:00:17.400000,0 days 02:47:59.856000,0 days 02:48:38.540000,0 days 02:48:55.940000,299.0,246.0,297.0,286.0,False,SOFT,19.0,False,Mercedes,0 days 02:47:40.549000,NaT,1,8.0,,,False,True
0 days 02:50:11.038000,HAM,44,0 days 00:01:15.131000,63.0,5.0,NaT,NaT,0 days 00:00:19.258000,0 days 00:00:38.472000,0 days 00:00:17.401000,0 days 02:49:15.198000,0 days 02:49:53.670000,0 days 02:50:11.071000,297.0,249.0,297.0,288.0,False,SOFT,20.0,False,Mercedes,0 days 02:48:55.907000,NaT,1,8.0,,,False,True
0 days 02:51:26.208000,HAM,44,0 days 00:01:15.170000,64.0,5.0,NaT,NaT,0 days 00:00:19.282000,0 days 00:00:38.384000,0 days 00:00:17.504000,0 days 02:50:30.353000,0 days 02:51:08.737000,0 days 02:51:26.241000,297.0,248.0,296.0,289.0,False,SOFT,21.0,False,Mercedes,0 days 02:50:11.038000,NaT,1,8.0,,,False,True
0 days 02:52:41.553000,HAM,44,0 days 00:01:15.345000,65.0,5.0,NaT,NaT,0 days 00:00:19.295000,0 days 00:00:38.577000,0 days 00:00:17.473000,0 days 02:51:45.536000,0 days 02:52:24.113000,0 days 02:52:41.586000,297.0,248.0,298.0,289.0,False,SOFT,22.0,False,Mercedes,0 days 02:51:26.208000,NaT,1,8.0,,,False,True
0 days 02:53:56.676000,HAM,44,0 days 00:01:15.123000,66.0,5.0,NaT,NaT,0 days 00:00:19.313000,0 days 00:00:38.369000,0 days 00:00:17.441000,0 days 02:53:00.899000,0 days 02:53:39.268000,0 days 02:53:56.709000,297.0,251.0,297.0,284.0,False,SOFT,23.0,False,Mercedes,0 days 02:52:41.553000,NaT,1,8.0,,,False,True
0 days 02:55:12.091000,HAM,44,0 days 00:01:15.415000,67.0,5.0,NaT,NaT,0 days 00:00:19.351000,0 days 00:00:38.603000,0 days 00:00:17.461000,0 days 02:54:16.060000,0 days 02:54:54.663000,0 days 02:55:12.124000,298.0,250.0,295.0,286.0,False,SOFT,24.0,False,Mercedes,0 days 02:53:56.676000,NaT,1,8.0,,,False,True
0 days 02:56:27.556000,HAM,44,0 days 00:01:15.465000,68.0,5.0,NaT,NaT,0 days 00:00:19.377000,0 days 00:00:38.492000,0 days 00:00:17.596000,0 days 02:55:31.501000,0 days 02:56:09.993000,0 days 02:56:27.589000,297.0,249.0,297.0,290.0,False,SOFT,25.0,False,Mercedes,0 days 02:55:12.091000,NaT,1,8.0,,,False,True
0 days 02:57:43.038000,HAM,44,0 days 00:01:15.482000,69.0,5.0,NaT,NaT,0 days 00:00:19.335000,0 days 00:00:38.721000,0 days 00:00:17.426000,0 days 02:56:46.924000,0 days 02:57:25.645000,0 days 02:57:43.071000,297.0,246.0,295.0,296.0,False,SOFT,26.0,False,Mercedes,0 days 02:56:27.556000,NaT,1,8.0,,,False,True
0 days 02:58:58.739000,HAM,44,0 days 00:01:15.701000,70.0,5.0,NaT,NaT,0 days 00:00:19.530000,0 days 00:00:38.634000,0 days 00:00:17.537000,0 days 02:58:02.601000,0 days 02:58:41.235000,0 days 02:58:58.772000,300.0,248.0,296.0,288.0,False,SOFT,27.0,False,Mercedes,0 days 02:57:43.038000,NaT,1,8.0,,,False,True
0 days 03:00:14.824000,HAM,44,0 days 00:01:16.085000,71.0,5.0,NaT,NaT,0 days 00:00:19.486000,0 days 00:00:38.948000,0 days 00:00:17.651000,0 days 02:59:18.258000,0 days 02:59:57.206000,0 days 03:00:14.857000,299.0,236.0,296.0,284.0,False,SOFT,28.0,False,Mercedes,0 days 02:58:58.739000,NaT,1,8.0,,,False,True
0 days 01:04:43.108000,TSU,22,0 days 00:02:19.969000,1.0,1.0,NaT,0 days 01:04:39.819000,NaT,0 days 00:01:11.374000,0 days 00:00:41.451000,NaT,0 days 01:04:01.679000,0 days 01:04:43.131000,306.0,168.0,,213.0,False,SOFT,4.0,False,AlphaTauri,0 days 01:02:22.839000,NaT,124,11.0,,,False,False
0 days 01:07:07.234000,TSU,22,0 days 00:02:24.126000,2.0,2.0,0 days 01:05:00.866000,0 days 01:07:02.974000,0 days 00:00:41.250000,0 days 00:00:59.052000,0 days 00:00:43.824000,0 days 01:05:24.379000,0 days 01:06:23.431000,0 days 01:07:07.255000,273.0,165.0,,,False,SOFT,5.0,False,AlphaTauri,0 days 01:04:43.108000,NaT,45,10.0,,,False,False
0 days 01:33:07.110000,TSU,22,NaT,3.0,3.0,0 days 01:30:38.379000,NaT,NaT,0 days 00:00:43.630000,0 days 00:01:21.879000,NaT,0 days 01:31:45.331000,0 days 01:33:07.362000,270.0,230.0,3.0,213.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:30:00.364000,NaT,1,10.0,,,False,False
0 days 01:34:28.950000,TSU,22,0 days 00:01:21.840000,4.0,3.0,NaT,NaT,0 days 00:00:23.156000,0 days 00:00:40.617000,0 days 00:00:18.067000,0 days 01:33:30.287000,0 days 01:34:10.904000,0 days 01:34:28.971000,317.0,245.0,317.0,238.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:33:07.110000,NaT,1,11.0,,,False,True
0 days 01:35:46.474000,TSU,22,0 days 00:01:17.524000,5.0,3.0,NaT,NaT,0 days 00:00:20.148000,0 days 00:00:39.917000,0 days 00:00:17.459000,0 days 01:34:49.119000,0 days 01:35:29.036000,0 days 01:35:46.495000,301.0,245.0,307.0,276.0,True,SOFT,3.0,True,AlphaTauri,0 days 01:34:28.950000,NaT,1,11.0,,,False,True
0 days 01:37:03.427000,TSU,22,0 days 00:01:16.953000,6.0,3.0,NaT,NaT,0 days 00:00:19.913000,0 days 00:00:39.800000,0 days 00:00:17.240000,0 days 01:36:06.408000,0 days 01:36:46.208000,0 days 01:37:03.448000,321.0,244.0,326.0,279.0,True,SOFT,4.0,True,AlphaTauri,0 days 01:35:46.474000,NaT,1,11.0,,,False,True
0 days 01:38:20.083000,TSU,22,0 days 00:01:16.656000,7.0,3.0,NaT,NaT,0 days 00:00:19.870000,0 days 00:00:39.504000,0 days 00:00:17.282000,0 days 01:37:23.318000,0 days 01:38:02.822000,0 days 01:38:20.104000,318.0,246.0,325.0,288.0,True,SOFT,5.0,True,AlphaTauri,0 days 01:37:03.427000,NaT,1,11.0,,,False,True
0 days 01:39:36.762000,TSU,22,0 days 00:01:16.679000,8.0,3.0,NaT,NaT,0 days 00:00:19.616000,0 days 00:00:39.768000,0 days 00:00:17.295000,0 days 01:38:39.720000,0 days 01:39:19.488000,0 days 01:39:36.783000,323.0,244.0,327.0,305.0,False,SOFT,6.0,True,AlphaTauri,0 days 01:38:20.083000,NaT,1,11.0,,,False,True
0 days 01:40:53.554000,TSU,22,0 days 00:01:16.792000,9.0,3.0,NaT,NaT,0 days 00:00:19.567000,0 days 00:00:39.833000,0 days 00:00:17.392000,0 days 01:39:56.350000,0 days 01:40:36.183000,0 days 01:40:53.575000,317.0,246.0,325.0,298.0,False,SOFT,7.0,True,AlphaTauri,0 days 01:39:36.762000,NaT,1,11.0,,,False,True
0 days 01:42:10.592000,TSU,22,0 days 00:01:17.038000,10.0,3.0,NaT,NaT,0 days 00:00:19.548000,0 days 00:00:39.923000,0 days 00:00:17.567000,0 days 01:41:13.123000,0 days 01:41:53.046000,0 days 01:42:10.613000,315.0,245.0,325.0,300.0,False,SOFT,8.0,True,AlphaTauri,0 days 01:40:53.554000,NaT,1,11.0,,,False,True
0 days 01:43:27.548000,TSU,22,0 days 00:01:16.956000,11.0,3.0,NaT,NaT,0 days 00:00:19.781000,0 days 00:00:39.870000,0 days 00:00:17.305000,0 days 01:42:30.394000,0 days 01:43:10.264000,0 days 01:43:27.569000,319.0,242.0,326.0,295.0,False,SOFT,9.0,True,AlphaTauri,0 days 01:42:10.592000,NaT,1,11.0,,,False,True
0 days 01:44:44.694000,TSU,22,0 days 00:01:17.146000,12.0,3.0,NaT,NaT,0 days 00:00:19.770000,0 days 00:00:39.915000,0 days 00:00:17.461000,0 days 01:43:47.339000,0 days 01:44:27.254000,0 days 01:44:44.715000,323.0,242.0,327.0,285.0,False,SOFT,10.0,True,AlphaTauri,0 days 01:43:27.548000,NaT,1,11.0,,,False,True
