Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:35:05.858000,PER,11,0 days 00:01:33.233000,21.0,1.0,NaT,NaT,0 days 00:00:29.985000,0 days 00:00:37.612000,0 days 00:00:25.636000,0 days 01:34:02.618000,0 days 01:34:40.230000,0 days 01:35:05.866000,288.0,255.0,246.0,296.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:33:32.625000,NaT,1,9.0,,,False,True
0 days 01:36:38.884000,PER,11,0 days 00:01:33.026000,22.0,1.0,NaT,NaT,0 days 00:00:30.023000,0 days 00:00:37.422000,0 days 00:00:25.581000,0 days 01:35:35.889000,0 days 01:36:13.311000,0 days 01:36:38.892000,289.0,258.0,246.0,297.0,True,MEDIUM,22.0,True,Red Bull Racing,0 days 01:35:05.858000,NaT,1,9.0,,,False,True
0 days 01:38:12.146000,PER,11,0 days 00:01:33.262000,23.0,1.0,NaT,NaT,0 days 00:00:30.067000,0 days 00:00:37.554000,0 days 00:00:25.641000,0 days 01:37:08.959000,0 days 01:37:46.513000,0 days 01:38:12.154000,287.0,255.0,245.0,293.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:36:38.884000,NaT,1,9.0,,,False,True
0 days 01:39:44.872000,PER,11,0 days 00:01:32.726000,24.0,1.0,NaT,NaT,0 days 00:00:29.884000,0 days 00:00:37.353000,0 days 00:00:25.489000,0 days 01:38:42.038000,0 days 01:39:19.391000,0 days 01:39:44.880000,291.0,256.0,246.0,301.0,True,MEDIUM,24.0,True,Red Bull Racing,0 days 01:38:12.146000,NaT,1,9.0,,,False,True
0 days 01:41:17.779000,PER,11,0 days 00:01:32.907000,25.0,1.0,NaT,NaT,0 days 00:00:29.900000,0 days 00:00:37.539000,0 days 00:00:25.468000,0 days 01:40:14.780000,0 days 01:40:52.319000,0 days 01:41:17.787000,290.0,257.0,247.0,300.0,False,MEDIUM,25.0,True,Red Bull Racing,0 days 01:39:44.872000,NaT,1,9.0,,,False,True
0 days 01:42:50.741000,PER,11,0 days 00:01:32.962000,26.0,1.0,NaT,NaT,0 days 00:00:29.956000,0 days 00:00:37.492000,0 days 00:00:25.514000,0 days 01:41:47.743000,0 days 01:42:25.235000,0 days 01:42:50.749000,290.0,256.0,247.0,299.0,False,MEDIUM,26.0,True,Red Bull Racing,0 days 01:41:17.779000,NaT,1,9.0,,,False,True
0 days 01:44:23.483000,PER,11,0 days 00:01:32.742000,27.0,1.0,NaT,NaT,0 days 00:00:30.002000,0 days 00:00:37.472000,0 days 00:00:25.268000,0 days 01:43:20.751000,0 days 01:43:58.223000,0 days 01:44:23.491000,289.0,255.0,248.0,303.0,False,MEDIUM,27.0,True,Red Bull Racing,0 days 01:42:50.741000,NaT,1,8.0,,,False,True
0 days 01:45:55.718000,PER,11,0 days 00:01:32.235000,28.0,1.0,NaT,0 days 01:45:49.766000,0 days 00:00:29.820000,0 days 00:00:37.427000,0 days 00:00:24.988000,0 days 01:44:53.311000,0 days 01:45:30.738000,0 days 01:45:55.726000,290.0,256.0,,299.0,False,MEDIUM,28.0,True,Red Bull Racing,0 days 01:44:23.483000,NaT,1,8.0,,,False,False
0 days 01:47:46.277000,PER,11,0 days 00:01:50.559000,29.0,2.0,0 days 01:46:17.828000,NaT,0 days 00:00:49.110000,0 days 00:00:36.462000,0 days 00:00:24.987000,0 days 01:46:44.836000,0 days 01:47:21.298000,0 days 01:47:46.285000,291.0,260.0,249.0,296.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:45:55.718000,NaT,1,13.0,,,False,False
0 days 01:49:17.685000,PER,11,0 days 00:01:31.408000,30.0,2.0,NaT,NaT,0 days 00:00:29.472000,0 days 00:00:36.720000,0 days 00:00:25.216000,0 days 01:48:15.757000,0 days 01:48:52.477000,0 days 01:49:17.693000,286.0,258.0,247.0,294.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:47:46.277000,NaT,1,12.0,,,False,True
0 days 01:50:49.217000,PER,11,0 days 00:01:31.532000,31.0,2.0,NaT,NaT,0 days 00:00:29.571000,0 days 00:00:36.796000,0 days 00:00:25.165000,0 days 01:49:47.264000,0 days 01:50:24.060000,0 days 01:50:49.225000,288.0,259.0,247.0,298.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:49:17.685000,NaT,1,12.0,,,False,True
0 days 01:52:33.597000,PER,11,0 days 00:01:44.380000,32.0,2.0,NaT,NaT,0 days 00:00:29.591000,0 days 00:00:36.928000,0 days 00:00:37.861000,0 days 01:51:18.816000,0 days 01:51:55.744000,0 days 01:52:33.605000,289.0,216.0,198.0,244.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:50:49.217000,NaT,126,10.0,,,False,False
0 days 01:54:41.681000,PER,11,0 days 00:02:08.084000,33.0,2.0,NaT,NaT,0 days 00:00:41.647000,0 days 00:00:51.371000,0 days 00:00:35.066000,0 days 01:53:15.252000,0 days 01:54:06.623000,0 days 01:54:41.689000,200.0,190.0,118.0,243.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:52:33.597000,NaT,64,8.0,,,False,False
0 days 01:56:47.485000,PER,11,0 days 00:02:05.804000,34.0,2.0,NaT,NaT,0 days 00:00:42.804000,0 days 00:00:49.654000,0 days 00:00:33.346000,0 days 01:55:24.493000,0 days 01:56:14.147000,0 days 01:56:47.493000,204.0,212.0,173.0,251.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:54:41.681000,NaT,4,8.0,,,False,False
0 days 01:59:09.798000,PER,11,0 days 00:02:22.313000,35.0,2.0,NaT,NaT,0 days 00:00:45.116000,0 days 00:00:57.748000,0 days 00:00:39.449000,0 days 01:57:32.609000,0 days 01:58:30.357000,0 days 01:59:09.806000,206.0,177.0,91.0,107.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:56:47.485000,NaT,4,8.0,,,False,False
0 days 02:01:34.892000,PER,11,0 days 00:02:25.094000,36.0,2.0,NaT,NaT,0 days 00:00:52.822000,0 days 00:00:56.501000,0 days 00:00:35.771000,0 days 02:00:02.628000,0 days 02:00:59.129000,0 days 02:01:34.900000,208.0,108.0,204.0,259.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:59:09.798000,NaT,4,8.0,,,False,False
0 days 02:04:00.352000,PER,11,0 days 00:02:25.460000,37.0,2.0,NaT,NaT,0 days 00:00:52.660000,0 days 00:00:53.883000,0 days 00:00:38.917000,0 days 02:02:27.560000,0 days 02:03:21.443000,0 days 02:04:00.360000,117.0,144.0,97.0,265.0,False,SOFT,9.0,True,Red Bull Racing,0 days 02:01:34.892000,NaT,4,8.0,,,False,False
0 days 02:06:16.977000,PER,11,0 days 00:02:16.625000,38.0,2.0,NaT,NaT,0 days 00:00:41.076000,0 days 00:00:55.309000,0 days 00:00:40.240000,0 days 02:04:41.436000,0 days 02:05:36.745000,0 days 02:06:16.985000,127.0,130.0,248.0,162.0,False,SOFT,10.0,True,Red Bull Racing,0 days 02:04:00.352000,NaT,41,8.0,,,False,False
0 days 02:07:49.480000,PER,11,0 days 00:01:32.503000,39.0,2.0,NaT,NaT,0 days 00:00:29.361000,0 days 00:00:37.509000,0 days 00:00:25.633000,0 days 02:06:46.346000,0 days 02:07:23.855000,0 days 02:07:49.488000,307.0,261.0,249.0,315.0,False,SOFT,11.0,True,Red Bull Racing,0 days 02:06:16.977000,NaT,1,8.0,,,False,True
0 days 02:09:21.389000,PER,11,0 days 00:01:31.909000,40.0,2.0,NaT,NaT,0 days 00:00:29.446000,0 days 00:00:36.993000,0 days 00:00:25.470000,0 days 02:08:18.934000,0 days 02:08:55.927000,0 days 02:09:21.397000,294.0,258.0,248.0,302.0,False,SOFT,12.0,True,Red Bull Racing,0 days 02:07:49.480000,NaT,1,8.0,,,False,True
0 days 02:10:52.780000,PER,11,0 days 00:01:31.391000,41.0,2.0,NaT,NaT,0 days 00:00:29.132000,0 days 00:00:36.985000,0 days 00:00:25.274000,0 days 02:09:50.529000,0 days 02:10:27.514000,0 days 02:10:52.788000,321.0,263.0,248.0,332.0,True,SOFT,13.0,True,Red Bull Racing,0 days 02:09:21.389000,NaT,1,8.0,,,False,True
0 days 02:12:24.496000,PER,11,0 days 00:01:31.716000,42.0,2.0,NaT,NaT,0 days 00:00:29.184000,0 days 00:00:37.070000,0 days 00:00:25.462000,0 days 02:11:21.972000,0 days 02:11:59.042000,0 days 02:12:24.504000,316.0,263.0,248.0,338.0,False,SOFT,14.0,True,Red Bull Racing,0 days 02:10:52.780000,NaT,1,8.0,,,False,True
0 days 02:13:56.501000,PER,11,0 days 00:01:32.005000,43.0,2.0,NaT,NaT,0 days 00:00:29.171000,0 days 00:00:37.002000,0 days 00:00:25.832000,0 days 02:12:53.675000,0 days 02:13:30.677000,0 days 02:13:56.509000,321.0,263.0,247.0,334.0,False,SOFT,15.0,True,Red Bull Racing,0 days 02:12:24.496000,NaT,1,7.0,,,False,True
0 days 02:15:28.213000,PER,11,0 days 00:01:31.712000,44.0,2.0,NaT,NaT,0 days 00:00:29.383000,0 days 00:00:36.961000,0 days 00:00:25.368000,0 days 02:14:25.892000,0 days 02:15:02.853000,0 days 02:15:28.221000,293.0,260.0,248.0,300.0,False,SOFT,16.0,True,Red Bull Racing,0 days 02:13:56.501000,NaT,1,7.0,,,False,True
0 days 02:16:59.784000,PER,11,0 days 00:01:31.571000,45.0,2.0,NaT,NaT,0 days 00:00:29.104000,0 days 00:00:36.891000,0 days 00:00:25.576000,0 days 02:15:57.325000,0 days 02:16:34.216000,0 days 02:16:59.792000,317.0,265.0,246.0,327.0,False,SOFT,17.0,True,Red Bull Racing,0 days 02:15:28.213000,NaT,1,7.0,,,False,True
